title,company,location,salary,tags,posted_date,source,link,scraped_at,confidence_score,credibility_score
"Software Dev Engineer II, Amazon Payment Services",Amazon,"Chennai, Tamil Nadu, India",Not specified,"fulltime, mid-senior level, Information Technology, Consulting, and Engineering, Software Development",2026-09-24,linkedin,https://www.linkedin.com/jobs/view/4469755004,2026-09-26T00:23:16Z,74,74
Quant Developer - Front Office,HSBC,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=3ecb78ef41016890,2026-09-26T00:23:16Z,80,80
Software Engineer II,Mastercard,"Pune Division, Maharashtra, India",Not specified,"fulltime, entry level, Engineering and Information Technology, Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",2026-09-24,linkedin,https://www.linkedin.com/jobs/view/4469769333,2026-09-26T00:23:16Z,67,67
​​​​Sr Specialist - Software Development & Engineering,Charles Schwab,"TS, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=cfe32dd9b00f86d1,2026-09-26T00:23:16Z,58,58
Software Developer (Java),Charles Schwab India,"Hyderabad, Telangana, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Financial Services",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4443274661,2026-09-26T00:23:16Z,78,78
"Software Engineer II, Full Stack",Cambridge Mobile Telematics,"TN, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=819908039512977c,2026-09-26T00:23:16Z,58,58
Software Engineer II,Mastercard,"Pune Division, Maharashtra, India",Not specified,"fulltime, entry level, Engineering and Information Technology, Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4468993665,2026-09-26T00:23:16Z,83,83
Power Apps / Power BI Developer,CGI,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=297a093d930c2ebc,2026-09-26T00:23:16Z,85,85
Senior Software Developer (.NET),Charles Schwab India,"Hyderabad, Telangana, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Financial Services",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4443274663,2026-09-26T00:23:16Z,84,84
Mainframe Developer with 3-4 Years of exp,CGI,"TS, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=ff4053273182578f,2026-09-26T00:23:16Z,63,63
"Software Engineer, AVP",NatWest Group,"Gurugram, Haryana, India",Not specified,"fulltime, mid-senior level, Information Technology, Software Development",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4460120366,2026-09-26T00:23:16Z,89,89
Lead Mainframe Developer/Tech lead 7-9 Yrs of exp,CGI,"TS, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=3fd7d575f13d773d,2026-09-26T00:23:16Z,76,76
Software Engineer II,Xplor Technologies,Not specified,Not specified,"fulltime, mid-senior level, Information Technology, Software Development",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4470946777,2026-09-26T00:23:16Z,62,62
Ab Initio Software Engineer,CGI,"TS, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=137daf8f0e81173a,2026-09-26T00:23:16Z,77,77
Software Engr II,Honeywell Aerospace,"Madurai, Tamil Nadu, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Aviation and Aerospace Component Manufacturing",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4462011182,2026-09-26T00:23:16Z,84,84
"Software Engineering Manager, AI/ML Infrastructure and Performance Engineering",Google,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=2c74ca8505731670,2026-09-26T00:23:16Z,64,64
Core Java Fullstack Developer,Persistent Systems,"Pune City, Maharashtra, India",Not specified,"fulltime, mid-senior level, IT Services and IT Consulting and Information Services",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4469301114,2026-09-26T00:23:16Z,76,76
"Software Engineer Manager, Commerce Infrastructure, Health and Home",Google,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=9c8cc188304c04f6,2026-09-26T00:23:16Z,73,73
Fullstack Java With Angular-Software Engineer II,Deloitte,"Chennai, Tamil Nadu, India",Not specified,"fulltime, not applicable, Engineering and Information Technology, Business Consulting and Services",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4424676269,2026-09-26T00:23:16Z,74,74
Software Engineer II - Java Full Stack Developer + AWS + AI,JPMorganChase,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=16779700bfa060f0,2026-09-26T00:23:16Z,78,78
Software Engineer II- Tax Transformation Office - Hyderabad & Gurugram,Deloitte,"Gurugram, Haryana, India",Not specified,"fulltime, not applicable, Engineering and Information Technology, Business Consulting and Services",2026-09-23,linkedin,https://www.linkedin.com/jobs/view/4452432100,2026-09-26T00:23:16Z,83,83
